SaleCondition,SalePrice,SaleType,MSZoning,BsmtQual,Foundation,Electrical,RoofStyle,Neighborhood,GrLivArea,firstFlrSF,YearBuilt,GarageType,OverallQual,OverallCond,TotRmsAbvGrd,GarageCars,GarageArea
Normal,315000,WD,RL,Ex,PConc,SBrkr,Hip,NridgHt,1980,1980,2004,Attchd,9,5,8,3,770
Normal,176000,WD,RL,TA,CBlock,SBrkr,Gable,NWAmes,1978,1098,1968,Attchd,7,5,9,2,486
Normal,165000,WD,RL,TA,CBlock,SBrkr,Gable,NAmes,1977,1127,1964,Attchd,6,6,9,2,540
Partial,440000,New,RL,Ex,PConc,SBrkr,Gable,NridgHt,1976,1976,2006,Attchd,8,5,7,3,908
Partial,395000,New,RL,Gd,PConc,SBrkr,Hip,NridgHt,1973,1973,2006,Attchd,8,5,9,3,895
Normal,253000,WD,RL,Gd,PConc,SBrkr,Gable,Somerst,1971,1113,2005,Attchd,7,5,8,2,689
Partial,281000,New,RL,Gd,PConc,SBrkr,Gable,NridgHt,1970,1120,2006,BuiltIn,8,5,8,3,753
Normal,190000,WD,RL,Gd,CBlock,SBrkr,Mansard,NWAmes,1969,1161,1977,Attchd,7,6,8,2,534
Partial,269500,New,RL,Ex,PConc,SBrkr,Gable,Timber,1968,774,2009,BuiltIn,8,5,8,3,680
Normal,172000,WD,RL,TA,CBlock,SBrkr,Gable,Mitchel,1968,1168,1969,Attchd,5,4,7,2,530
Normal,205000,WD,RL,TA,CBlock,SBrkr,Hip,NWAmes,1964,1098,1976,Attchd,7,6,8,2,483
Abnorml,130000,WD,RH,TA,PConc,FuseA,Gable,SWISU,1964,1024,1911,NoGarage,5,6,7,0,0
Partial,239799,New,RL,Gd,PConc,SBrkr,Gable,CollgCr,1962,1391,2006,Attchd,7,5,7,3,868
Normal,215000,WD,RL,Ex,PConc,SBrkr,Gable,Mitchel,1961,804,2001,BuiltIn,6,5,7,2,560
Normal,216500,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,1960,860,2002,BuiltIn,6,5,8,2,440
Normal,124500,COD,RM,TA,CBlock,SBrkr,Hip,OldTown,1960,960,1952,Detchd,5,5,10,2,400
Family,171000,WD,RL,TA,CBlock,SBrkr,Gable,Mitchel,1959,1959,1988,2Types,7,5,9,3,766
Normal,270000,WD,FV,Gd,PConc,SBrkr,Gable,Somerst,1959,1088,2006,Attchd,8,5,8,3,1025
Normal,215000,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,1959,847,2004,BuiltIn,7,5,8,2,434
Normal,145000,WD,RH,Gd,CBlock,FuseF,Gable,Crawfor,1958,979,1946,Attchd,6,6,8,2,492
Normal,250000,WD,FV,Gd,PConc,SBrkr,Gable,Somerst,1958,1026,2005,Attchd,7,5,9,3,936
Normal,311500,WD,RL,TA,CBlock,SBrkr,Gable,Crawfor,1954,1137,1939,Attchd,7,9,8,2,431
Normal,240000,WD,RL,Gd,PConc,SBrkr,Gable,ClearCr,1953,1079,1992,Attchd,6,5,9,2,501
Normal,252000,WD,FV,Gd,PConc,SBrkr,Gable,Somerst,1953,1082,2005,Attchd,8,5,9,3,1043
Normal,239000,WD,FV,Gd,PConc,SBrkr,Hip,Somerst,1950,975,1997,Detchd,7,5,7,2,576
Normal,236000,WD,RL,Gd,PConc,SBrkr,Gable,SawyerW,1949,1062,1993,Attchd,7,5,8,2,574
Normal,195000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1948,847,2004,BuiltIn,7,5,8,2,434
Normal,254900,WD,FV,Gd,PConc,SBrkr,Gable,Somerst,1947,991,2004,Attchd,7,5,8,2,678
Normal,360000,WD,RL,Ex,PConc,SBrkr,Gable,NridgHt,1944,1944,2003,Attchd,9,5,8,3,708
Partial,395192,New,RL,Ex,PConc,SBrkr,Hip,NridgHt,1940,1940,2009,Attchd,9,5,8,3,606
Partial,266000,New,FV,Gd,PConc,SBrkr,Gable,Somerst,1939,1095,2006,Attchd,8,5,8,3,1053
Normal,230500,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,1936,1454,2000,Attchd,8,5,7,2,504
Partial,263435,New,FV,Gd,PConc,SBrkr,Gable,Somerst,1935,832,2009,BuiltIn,8,5,8,2,552
Normal,197900,WD,RL,Gd,CBlock,SBrkr,Gable,NWAmes,1935,1142,1976,Attchd,7,7,7,2,550
Normal,214000,WD,RL,Gd,PConc,SBrkr,Gable,Somerst,1933,894,2007,BuiltIn,6,5,9,3,668
Partial,394617,New,RL,Ex,PConc,SBrkr,Hip,NridgHt,1932,1932,2008,Attchd,8,5,7,3,774
Normal,226000,WD,FV,Gd,PConc,SBrkr,Gable,Somerst,1929,1057,2001,Attchd,7,5,7,2,650
Normal,137000,WD,RM,Fa,Stone,FuseP,Gable,OldTown,1928,908,1910,Detchd,6,8,9,1,440
Normal,219500,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1928,847,2003,BuiltIn,7,5,8,2,434
Normal,160000,WD,RH,TA,PConc,SBrkr,Gable,SWISU,1928,948,1916,NoGarage,5,8,10,0,0
Normal,280000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,1924,1086,1998,Attchd,8,5,7,2,592
Normal,190000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,1923,1061,1992,Attchd,7,5,8,2,564
Normal,377426,WD,RL,Ex,PConc,SBrkr,Hip,StoneBr,1922,1922,2005,Attchd,9,5,8,3,676
Normal,198500,ConLD,RL,NoBasement,Slab,SBrkr,Gable,Edwards,1922,495,2003,BuiltIn,7,5,7,2,672
Normal,172500,WD,RL,TA,CBlock,SBrkr,Gable,Sawyer,1920,1252,1958,Attchd,5,5,8,2,451
Normal,137000,WD,RL,TA,CBlock,FuseA,Gable,NAmes,1920,928,1948,Detchd,5,5,10,2,400
Normal,170000,WD,RL,TA,CBlock,SBrkr,Gable,NWAmes,1920,1222,1968,Attchd,7,6,8,2,487
Partial,233230,New,RL,Gd,PConc,SBrkr,Gable,CollgCr,1919,1079,2006,Attchd,8,5,8,2,685
Abnorml,220000,WD,RL,Gd,PConc,SBrkr,Gable,SawyerW,1915,927,1992,Attchd,8,5,8,2,506
Normal,177000,WD,RL,TA,BrkTil,SBrkr,Gable,Crawfor,1913,1172,1928,Detchd,6,6,9,2,342
Normal,163000,WD,RM,Fa,BrkTil,SBrkr,Gable,OldTown,1912,1221,1905,Detchd,6,7,7,2,672
Normal,215000,WD,RL,Gd,PConc,SBrkr,Gable,SawyerW,1911,1065,1993,Attchd,8,5,8,2,471
Normal,202900,WD,RL,Gd,PConc,SBrkr,Gable,Timber,1908,993,2002,Attchd,8,5,9,2,431
Normal,210000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1908,933,1994,Attchd,7,5,8,2,493
Normal,320000,WD,RL,Ex,PConc,SBrkr,Hip,Somerst,1905,1905,2006,Attchd,9,5,8,3,788
Normal,275000,WD,RL,Gd,PConc,SBrkr,Gable,NridgHt,1904,1058,2005,BuiltIn,8,5,8,2,736
Normal,138000,WD,RL,TA,CBlock,FuseA,Gable,NAmes,1904,1136,1950,Attchd,5,4,7,1,240
Normal,112000,WD,RM,NoBasement,Slab,SBrkr,Gable,Sawyer,1902,1318,1978,Attchd,6,5,8,2,539
Normal,335000,WD,RL,Gd,PConc,SBrkr,Gable,Crawfor,1902,1902,1959,Attchd,7,8,7,2,567
Normal,194500,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,1895,1086,1994,Attchd,7,5,7,2,409
Normal,214900,WD,RL,Gd,PConc,SBrkr,Gable,Timber,1894,824,2002,BuiltIn,7,5,8,2,510
Normal,122000,WD,RM,TA,CBlock,FuseF,Hip,OldTown,1889,964,1910,Detchd,7,4,9,1,308
Normal,190000,WD,RL,TA,CBlock,SBrkr,Gable,NAmes,1888,1888,1966,Attchd,6,6,6,2,578
Normal,199900,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,1886,956,1998,Attchd,7,5,10,2,431
Normal,185000,WD,RL,TA,CBlock,SBrkr,Hip,NWAmes,1876,943,1974,Attchd,6,6,8,2,540
Normal,241500,WD,RL,Gd,CBlock,SBrkr,Gable,NWAmes,1872,1872,1988,Attchd,7,5,6,2,604
Normal,261500,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1872,1299,2001,BuiltIn,8,5,7,2,531
Partial,318061,New,RL,Ex,PConc,SBrkr,Hip,NridgHt,1869,1869,2007,Attchd,9,5,6,2,617
Normal,124900,WD,RM,TA,BrkTil,SBrkr,Hip,OldTown,1869,1188,1890,Detchd,5,6,7,2,456
Normal,197500,WD,RL,TA,CBlock,SBrkr,Gable,NWAmes,1868,1088,1976,Attchd,5,7,9,2,484
Abnorml,178000,WD,RL,Gd,CBlock,SBrkr,Hip,NWAmes,1868,1140,1984,BuiltIn,6,7,7,2,477
Normal,190000,COD,RL,TA,CBlock,FuseA,Hip,ClearCr,1867,1867,1955,Attchd,5,5,7,1,303
Normal,235000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1865,992,2000,Attchd,7,5,7,3,839
Partial,219210,New,RL,Gd,PConc,SBrkr,Gable,Gilbert,1863,879,2006,BuiltIn,7,5,9,3,660
Normal,200000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1861,920,2002,BuiltIn,7,5,8,2,492
Partial,394432,New,RL,Ex,PConc,SBrkr,Hip,StoneBr,1856,1856,2010,Attchd,9,2,8,3,834
Normal,136900,WD,RL,TA,CBlock,SBrkr,Gable,Edwards,1855,1216,1954,Attchd,6,4,7,1,325
Normal,187000,WD,RL,TA,CBlock,SBrkr,Hip,Veenker,1855,1094,1976,Attchd,6,7,7,2,512
Normal,230000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1852,1004,1999,Attchd,8,5,7,3,660
Partial,252678,New,FV,Gd,PConc,SBrkr,Gable,Somerst,1852,932,2009,Attchd,7,5,7,2,644
Normal,187000,WD,RL,TA,CBlock,SBrkr,Hip,NAmes,1851,1020,1964,Attchd,6,8,7,2,440
Normal,326000,WD,RL,Ex,PConc,SBrkr,Hip,NridgHt,1850,1850,2004,Attchd,9,5,8,3,772
Normal,248000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,1850,979,1994,BuiltIn,7,6,7,2,467
Normal,207000,WD,RL,TA,BrkTil,SBrkr,Gambrel,BrkSide,1848,1053,1923,Detchd,6,7,8,2,370
Normal,143000,WD,RL,TA,CBlock,SBrkr,Gable,NAmes,1846,1168,1949,Attchd,6,6,7,1,315
Normal,189000,WD,RL,Gd,PConc,SBrkr,Gable,SawyerW,1845,1055,1992,Attchd,6,5,8,2,462
Normal,190000,COD,RL,Gd,CBlock,SBrkr,Hip,NWAmes,1844,1844,1977,Attchd,6,6,7,2,546
Abnorml,257000,COD,RL,Gd,PConc,SBrkr,Gable,SawyerW,1844,1844,2005,Attchd,8,5,7,2,620
Normal,223000,WD,RL,TA,CBlock,SBrkr,Gable,Crawfor,1844,1844,1969,Attchd,6,5,7,2,540
Normal,385000,WD,RL,Ex,CBlock,SBrkr,Gable,Veenker,1842,1842,1981,Attchd,9,5,5,3,894
Normal,230000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1840,944,2001,Attchd,7,5,6,2,622
Normal,155000,WD,RL,TA,CBlock,SBrkr,Gable,NAmes,1839,1051,1966,Attchd,6,5,7,2,442
Normal,257500,WD,RL,TA,PConc,SBrkr,Hip,Crawfor,1839,1839,1957,Attchd,6,7,7,2,416
Normal,221000,WD,RL,Gd,PConc,SBrkr,Gable,NoRidge,1839,1195,1998,Attchd,7,5,7,2,486
Normal,315000,WD,RL,Ex,PConc,SBrkr,Hip,Timber,1838,1838,2006,Attchd,9,5,8,3,765
Normal,192140,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,1838,734,2005,BuiltIn,5,5,7,2,372
Normal,216837,WD,RL,Gd,PConc,SBrkr,Hip,CollgCr,1836,1836,2004,Attchd,7,5,8,2,484
Normal,280000,WD,RL,Ex,PConc,SBrkr,Gable,NridgHt,1836,1836,2004,Attchd,8,5,7,3,862
Normal,237000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1829,941,2003,Attchd,7,6,7,2,613
Partial,314813,New,RL,Ex,PConc,SBrkr,Hip,NridgHt,1828,1828,2007,Attchd,9,5,9,3,774
Normal,155000,WD,RM,TA,PConc,SBrkr,Gable,OldTown,1826,916,1915,Attchd,7,8,7,1,164
Partial,319000,New,RL,Gd,PConc,SBrkr,Gable,StoneBr,1826,1826,2005,Attchd,8,5,7,3,758
Normal,302000,WD,RL,Gd,CBlock,SBrkr,Gable,ClearCr,1824,1824,1971,Attchd,7,5,5,2,739
Normal,180500,WD,RL,TA,PConc,FuseA,Gambrel,BrkSide,1824,1060,1919,Detchd,6,6,8,2,520
Normal,139000,WD,RL,TA,CBlock,SBrkr,Mansard,Mitchel,1824,912,1971,NoGarage,6,5,8,0,0
Normal,184000,WD,RL,TA,PConc,SBrkr,Gable,BrkSide,1820,1133,1925,Detchd,7,6,8,1,240
Normal,201800,WD,RL,TA,CBlock,SBrkr,Gable,NAmes,1820,902,1965,Attchd,7,6,8,2,492
Normal,169500,WD,RM,TA,PConc,FuseF,Gable,IDOTRR,1818,1226,1931,Detchd,7,4,7,1,240
Normal,169500,WD,RL,TA,CBlock,SBrkr,Gable,NAmes,1812,876,1962,Attchd,5,5,8,1,264
Normal,140000,WD,RM,Gd,BrkTil,SBrkr,Gable,OldTown,1812,1032,1900,Detchd,5,9,8,2,672
Abnorml,230000,WD,RL,TA,PConc,SBrkr,Gable,Crawfor,1811,1811,1956,Attchd,6,7,6,2,470
Normal,189000,WD,RL,TA,PConc,SBrkr,Gable,Gilbert,1804,1028,1999,Attchd,7,5,7,2,442
Normal,155000,WD,RL,TA,CBlock,SBrkr,Gable,Sawyer,1803,1803,1957,Attchd,5,4,8,2,484
Normal,200100,WD,RL,Fa,BrkTil,SBrkr,Gable,Crawfor,1802,901,1920,Detchd,7,6,9,1,216
Normal,289000,WD,RL,TA,CBlock,SBrkr,Gable,Crawfor,1801,1801,1959,Attchd,7,8,6,2,484
Normal,239900,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,1801,901,2005,Attchd,8,5,8,3,800
Normal,179000,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,1800,1007,2000,Attchd,6,5,7,2,463
Normal,312500,WD,RL,Ex,PConc,SBrkr,Hip,Timber,1800,1800,2002,Attchd,8,5,7,3,765
Normal,141000,WD,RL,TA,CBlock,SBrkr,Gable,NAmes,1800,1800,1961,NoGarage,5,4,10,0,0
Normal,239000,WD,RL,Ex,PConc,SBrkr,Gable,CollgCr,1800,1800,2007,Attchd,9,5,7,2,702
Normal,213500,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1797,939,2006,Attchd,7,5,8,2,639
Normal,211000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1796,882,1998,Attchd,6,5,7,2,546
Normal,140000,WD,RL,TA,CBlock,SBrkr,Hip,NAmes,1796,983,1963,Attchd,6,5,8,2,483
Normal,230000,WD,RL,Gd,PConc,SBrkr,Hip,CollgCr,1795,1795,2002,Attchd,8,5,7,2,534
Normal,131500,WD,RM,TA,BrkTil,FuseF,Gable,OldTown,1795,1050,1954,Attchd,5,5,7,1,352
Partial,147000,New,RL,Ex,PConc,SBrkr,Gable,Somerst,1795,1795,2006,Attchd,8,5,7,3,895
Normal,231500,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1792,963,2001,Attchd,7,5,7,2,564
Normal,374000,WD,RL,Ex,PConc,SBrkr,Hip,NridgHt,1792,1792,2003,Attchd,9,5,6,3,874
Normal,186500,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,1792,962,2000,Attchd,6,5,8,2,451
Normal,136000,WD,RL,Gd,CBlock,SBrkr,Gable,NAmes,1792,896,1974,NoGarage,5,5,8,0,0
Normal,165150,WD,RL,TA,CBlock,SBrkr,Gable,NWAmes,1790,1012,1972,Attchd,6,5,8,2,484
Abnorml,193000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1790,882,1999,Attchd,7,5,7,2,588
Normal,236500,WD,RL,Gd,PConc,SBrkr,Hip,CollgCr,1788,1788,2001,Attchd,8,5,7,2,522
Normal,161500,WD,RL,TA,CBlock,FuseA,Gable,ClearCr,1788,1104,1957,Attchd,4,5,8,1,304
Normal,275000,WD,RL,Gd,PConc,SBrkr,Hip,CollgCr,1787,1787,2001,Attchd,8,5,7,3,748
Normal,223500,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1786,920,2001,Attchd,7,5,6,2,608
Normal,204750,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1786,905,1997,Attchd,6,5,7,2,684
Normal,228950,WD,RL,TA,CBlock,SBrkr,Gable,Timber,1786,1619,1965,Attchd,5,6,7,2,529
Normal,138887,WD,RL,Gd,BrkTil,FuseF,Gable,Crawfor,1784,892,1914,Detchd,5,5,9,1,180
Abnorml,170000,WD,RL,TA,CBlock,SBrkr,Hip,Sawyer,1779,1779,1955,Attchd,5,4,6,2,454
Normal,197900,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1779,866,1998,Attchd,7,5,6,2,546
Abnorml,110000,COD,RL,TA,CBlock,SBrkr,Gable,NAmes,1776,1776,1958,Detchd,5,5,9,3,888
Normal,192500,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1776,936,2002,Attchd,7,5,7,2,474
Partial,283463,New,RL,Ex,PConc,SBrkr,Gable,Timber,1776,1776,2006,Attchd,8,5,7,3,712
Normal,213000,WD,RL,Gd,PConc,SBrkr,Gable,SawyerW,1775,1006,1993,Attchd,7,5,7,2,425
Abnorml,129900,WD,RM,TA,BrkTil,FuseF,Gable,OldTown,1774,1022,1931,Detchd,7,5,8,2,468
Normal,87000,WD,RM,TA,BrkTil,SBrkr,Gable,OldTown,1774,1095,1900,2Types,4,2,8,3,779
Normal,115000,WD,RL,NoBasement,Slab,SBrkr,Hip,Mitchel,1771,1771,1960,Attchd,5,4,9,2,336
Normal,136500,WD,RL,TA,CBlock,SBrkr,Hip,Sawyer,1768,1768,1968,NoGarage,4,5,8,0,0
Normal,226700,WD,FV,Gd,PConc,SBrkr,Gable,Somerst,1768,866,2005,Attchd,7,5,7,2,603
Normal,163000,WD,RM,Gd,BrkTil,SBrkr,Gable,OldTown,1768,880,1914,Detchd,7,7,6,2,320
Normal,212000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1768,866,2007,Attchd,8,5,7,2,578
Normal,175000,WD,RL,Gd,BrkTil,SBrkr,Gable,SWISU,1768,981,1937,Detchd,5,7,7,1,240
Normal,224900,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1768,884,2003,Attchd,7,5,8,2,543
Normal,239000,WD,RL,Gd,PConc,SBrkr,Gable,StoneBr,1767,1064,1987,Attchd,7,7,5,2,504
Partial,370878,New,FV,Ex,PConc,SBrkr,Gable,Somerst,1766,1766,2009,Attchd,9,5,7,3,478
Normal,231500,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1764,928,1997,Attchd,6,5,7,2,470
Normal,157000,WD,RM,Fa,BrkTil,SBrkr,Hip,OldTown,1762,998,1920,Detchd,7,7,8,2,576
Partial,227875,New,FV,Gd,PConc,SBrkr,Gable,Somerst,1761,874,2007,Attchd,7,6,7,2,578
Normal,204000,WD,RL,Ex,PConc,SBrkr,Hip,Timber,1756,888,1996,Attchd,6,5,7,2,422
Normal,319900,WD,RL,Ex,PConc,SBrkr,Hip,NridgHt,1752,1752,2005,Attchd,9,5,6,2,576
Normal,164000,WD,RL,Gd,Wood,SBrkr,Gable,Gilbert,1752,1080,1988,Basment,8,7,8,2,492
Abnorml,124000,WD,RM,Fa,BrkTil,FuseA,Gable,OldTown,1750,1089,1880,Detchd,5,6,8,1,240
Normal,160000,WD,RL,Gd,CBlock,SBrkr,Gable,Mitchel,1750,983,1940,Attchd,6,7,7,1,423
Normal,377500,WD,RL,Ex,PConc,SBrkr,Gable,Gilbert,1746,1746,2006,Attchd,9,5,7,3,758
Normal,194500,WD,RL,Gd,PConc,SBrkr,Gable,SawyerW,1744,1014,1993,Attchd,7,7,7,2,457
Normal,175000,WD,RL,TA,CBlock,SBrkr,Mansard,NWAmes,1743,1041,1968,Attchd,6,6,7,2,539
Normal,275000,WD,RL,Gd,PConc,SBrkr,Gable,StoneBr,1742,1742,1985,Attchd,8,5,5,2,564
Normal,168000,WD,RM,TA,BrkTil,SBrkr,Gable,OldTown,1742,916,1882,Attchd,8,9,8,2,424
Normal,219500,CWD,RL,TA,CBlock,SBrkr,Gable,Crawfor,1740,960,1940,Attchd,7,6,6,1,240
Abnorml,172500,WD,FV,Gd,PConc,SBrkr,Gable,Somerst,1739,983,1999,Attchd,8,5,7,2,480
Normal,104900,WD,RL,TA,BrkTil,SBrkr,Gable,NAmes,1738,1281,1920,Attchd,4,4,7,1,368
Normal,260000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1734,1734,2005,Attchd,7,5,7,2,660
Normal,159000,WD,RL,TA,CBlock,SBrkr,Gable,NAmes,1734,1085,1962,Attchd,6,7,7,2,440
Normal,126000,COD,RL,NoBasement,CBlock,SBrkr,Gable,Mitchel,1734,1302,1977,Attchd,5,5,8,2,539
Partial,318000,New,RL,Ex,PConc,SBrkr,Hip,NridgHt,1734,1734,2007,Attchd,8,5,7,3,928
Family,225000,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,1733,847,2003,BuiltIn,7,5,7,2,433
Normal,139600,WD,RL,NoBasement,Slab,FuseA,Hip,Edwards,1733,1733,1955,Attchd,3,5,8,2,452
Normal,178000,WD,RL,Gd,CBlock,SBrkr,Gable,SawyerW,1732,977,1985,Attchd,6,5,7,2,476
Abnorml,125000,ConLI,RM,TA,CBlock,SBrkr,Gable,Sawyer,1728,1728,1963,Detchd,5,5,10,2,504
Normal,207500,WD,FV,Gd,PConc,SBrkr,Gable,Somerst,1728,864,2003,Attchd,6,5,7,2,673
Normal,119000,WD,RL,TA,CBlock,SBrkr,Gable,NAmes,1728,1728,1964,Detchd,5,4,10,1,352
Family,188000,WD,RL,TA,CBlock,SBrkr,Gable,Mitchel,1728,1728,1976,Detchd,5,5,8,2,560
Normal,142600,WD,RL,TA,CBlock,SBrkr,Gable,NAmes,1728,1728,1965,Detchd,5,5,10,2,576
Normal,190000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1728,864,2004,Attchd,7,5,7,2,572
Normal,150900,WD,RL,TA,CBlock,SBrkr,Gable,Mitchel,1728,1728,1976,Attchd,6,5,8,2,574
Partial,311872,New,RL,Ex,PConc,SBrkr,Hip,Somerst,1726,1726,2007,Attchd,7,5,8,3,786
Normal,197000,WD,RL,TA,CBlock,SBrkr,Hip,NWAmes,1725,1040,1979,Attchd,7,6,6,2,550
Normal,188000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1724,880,1998,Attchd,7,5,8,2,527
Normal,197900,WD,RL,Gd,CBlock,SBrkr,Gable,NWAmes,1724,1724,1967,Attchd,6,5,7,2,480
Normal,180000,WD,RL,TA,CBlock,SBrkr,Gable,Sawyer,1721,1721,1968,Attchd,5,6,7,2,440
Normal,201000,WD,RL,Gd,PConc,SBrkr,Gable,SawyerW,1721,936,1994,Attchd,6,5,7,2,471
Normal,196500,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1720,860,2004,Attchd,7,5,7,2,565
Normal,183500,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,1720,840,2004,Attchd,7,5,7,2,440
Normal,260400,WD,RL,Gd,PConc,SBrkr,Hip,NoRidge,1720,1720,1996,Attchd,7,5,7,2,527
Normal,324000,Con,RL,Gd,PConc,SBrkr,Gable,Veenker,1719,1719,1993,Attchd,8,5,6,2,473
Normal,185000,WD,RL,Gd,PConc,SBrkr,Gable,Gilbert,1718,885,1998,Attchd,7,5,7,2,427
Normal,297000,WD,RL,Ex,PConc,SBrkr,Hip,CollgCr,1718,1718,2007,Attchd,8,5,7,3,826
Normal,337500,WD,RL,Ex,PConc,SBrkr,Hip,NridgHt,1718,1718,2006,Attchd,10,5,7,3,786
Abnorml,140000,WD,RL,TA,BrkTil,SBrkr,Gable,Crawfor,1717,961,1915,Detchd,7,5,7,3,642
Normal,255500,WD,RL,Ex,PConc,SBrkr,Gable,NridgHt,1717,1717,2006,Attchd,8,5,7,3,908
Normal,187500,WD,RL,Gd,CBlock,SBrkr,Gable,Timber,1717,1187,1990,Attchd,7,5,7,2,400
Normal,135900,WD,RL,TA,PConc,SBrkr,Gable,SWISU,1716,936,1912,NoGarage,5,6,9,0,0
Normal,131000,WD,RL,TA,CBlock,SBrkr,Gable,Edwards,1716,1148,1949,Attchd,5,4,8,1,281
Normal,191000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1716,909,1996,Attchd,7,5,7,2,512
Normal,171000,WD,RL,TA,CBlock,SBrkr,Gable,NAmes,1716,858,1962,Attchd,6,6,8,2,490
Normal,196500,WD,RL,Gd,CBlock,SBrkr,Gable,NWAmes,1714,980,1988,Attchd,7,5,7,2,496
Normal,274900,WD,RL,Ex,PConc,SBrkr,Hip,NridgHt,1713,1713,2004,Attchd,8,5,7,3,856
Family,145000,WD,RL,TA,CBlock,SBrkr,Gable,NAmes,1712,1712,1959,Attchd,5,5,8,2,588
Normal,208500,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1710,856,2003,Attchd,7,5,8,2,548
Normal,140000,WD,RM,TA,BrkTil,SBrkr,Gable,OldTown,1710,902,1921,Detchd,7,6,9,2,480
Partial,372402,New,RL,Ex,PConc,SBrkr,Hip,NridgHt,1710,1710,2007,Attchd,8,5,6,3,866
Normal,187000,WD,RL,Gd,PConc,SBrkr,Gable,SawyerW,1710,832,1993,Attchd,6,5,7,2,506
Normal,240000,WD,RL,Ex,PConc,SBrkr,Hip,Mitchel,1710,1710,2004,Attchd,7,5,7,2,550
Normal,130000,WD,RM,Gd,PConc,SBrkr,Gable,Edwards,1709,970,2004,Detchd,6,5,7,2,380
Normal,130000,WD,RM,Gd,PConc,SBrkr,Gable,Edwards,1709,970,2004,Detchd,7,5,7,2,380
Abnorml,328900,CWD,FV,Ex,PConc,SBrkr,Gable,Somerst,1709,1709,1999,Attchd,9,5,5,2,506
Normal,137500,WD,RM,Gd,PConc,SBrkr,Gable,Edwards,1709,970,2004,Detchd,7,5,7,2,380
Normal,130000,WD,RM,Gd,PConc,SBrkr,Gable,Edwards,1708,976,2004,Detchd,7,5,7,2,380
Normal,228000,WD,RL,Gd,CBlock,SBrkr,Hip,Timber,1707,1707,1981,Attchd,8,6,6,2,511
Normal,306000,WD,RL,Ex,PConc,SBrkr,Gable,NridgHt,1704,1704,2007,Attchd,8,5,7,3,772
Partial,367294,New,RL,Ex,PConc,SBrkr,Hip,NridgHt,1702,1702,2008,Attchd,9,5,7,3,1052
Normal,171000,WD,RL,Gd,CBlock,SBrkr,Gable,Sawyer,1701,1701,1975,Basment,5,5,6,2,611
Normal,165500,WD,RL,TA,CBlock,SBrkr,Hip,NAmes,1700,1700,1959,Attchd,5,5,6,2,447
Normal,200000,WD,RL,Gd,PConc,SBrkr,Gable,CollgCr,1700,1700,2003,Attchd,6,5,7,2,544
Abnorml,95000,WD,RL,Fa,CBlock,SBrkr,Gable,OldTown,1699,1014,1900,CarPort,3,5,7,2,420
Normal,320000,WD,RL,Ex,PConc,SBrkr,Hip,Edwards,1698,1698,2007,Attchd,9,5,8,3,768
Normal,143900,WD,RL,TA,CBlock,SBrkr,Gable,Sawyer,1696,1696,1962,Attchd,5,5,8,1,349
